Date,HouseID,Visit_Type,Room,ave_by_Month,t_mean_ext
2017-01-01,26,None,BR,17.798764976958527,3.6066532258064514
2017-01-01,1,None,BR,14.235358208955224,3.6066532258064514
2017-01-01,29,None,LR,20.078200716845878,3.6066532258064514
2017-01-01,32,None,LR,17.725394265232975,3.6066532258064514
2017-01-01,10,None,LR,18.822125448028675,3.6066532258064514
2017-01-01,40,None,LR,18.802501792114697,3.6066532258064514
2017-01-01,20,None,BR,17.204575471698114,3.6066532258064514
2017-01-01,8,None,BR,18.16342857142857,3.6066532258064514
2017-01-01,24,None,BR,19.631926267281106,3.6066532258064514
2017-01-01,22,None,LR,22.71609677419355,3.6066532258064514
2017-01-01,39,Other,BR,15.116589861751152,3.6066532258064514
2017-01-01,11,None,BR,14.628142857142857,3.6066532258064514
2017-01-01,22,None,BR,19.70778801843318,3.6066532258064514
