bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID13,bedroom_ID15,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID28,bedroom_ID29,bedroom_ID31,bedroom_ID32,bedroom_ID34,bedroom_ID36,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID13,living_room_ID15,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID28,living_room_ID29,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID43
15.245,18.025,18.984,20.75,20.268,12.537,16.077,13.667,9.757,14.45,20.219,20.12,18.12,13.167,18.952,19.315,18.778,24.937,16.493,19.241,15.441,16.209,18.691,21.069,18.564,10.298,16.544,16.64,16.869,21.125,20.248,15.538,18.482,15.167,15.27,14.188,18.218,12.548,19.122,21.267,23.648,15.092,20.126,22.346,21.782,21.782,19.525,17.239,20.492,18.155,16.904,11.419,17.712,19.028,19.43,17.239,19.367,16.282,17.218
14.744,18.025,19.423,22.751,19.642,12.161,16.14,13.542,9.695,16.141,20.532,20.058,18.183,13.105,18.952,21.254,18.716,25.313,16.18,20.492,15.566,18.588,18.628,23.195,19.002,14.564,16.982,16.578,18.996,21.813,20.748,19.357,19.295,14.227,16.712,14.0,18.406,13.426,18.871,22.769,23.46,15.029,20.814,22.221,20.718,20.718,19.838,18.428,18.178,18.655,17.405,11.607,18.025,19.028,19.43,18.053,19.43,17.218,17.031
15.37,18.276,18.734,19.686,19.141,12.098,17.391,13.417,9.507,16.705,20.97,20.246,18.621,13.042,19.265,20.691,19.341,24.625,15.992,18.178,15.942,17.649,18.503,23.07,19.94,14.564,16.356,16.578,17.87,21.938,20.123,20.922,18.732,13.663,16.148,18.572,18.468,13.551,19.997,23.519,19.582,15.092,19.688,22.659,20.53,20.53,20.276,17.615,19.617,19.906,17.717,12.108,17.649,19.028,20.306,19.18,19.43,17.031,16.906
17.437,18.902,19.548,18.56,19.392,11.785,17.266,13.292,9.569,16.204,21.408,20.371,18.496,13.042,19.578,19.815,20.342,22.812,15.93,19.617,15.692,16.96,18.378,22.82,21.504,14.188,17.483,16.515,17.682,21.25,21.249,18.669,18.357,13.537,16.524,18.385,18.406,13.927,20.56,22.331,20.082,15.154,19.813,23.847,22.845,22.845,20.213,17.302,20.68,20.657,17.905,12.234,17.273,19.154,22.495,20.869,20.306,16.906,16.906
16.685,18.965,19.172,17.997,19.266,11.722,17.141,13.229,9.632,15.264,21.784,20.246,18.683,13.418,19.578,19.69,19.404,23.125,15.867,20.68,15.19,16.647,18.315,22.82,19.002,14.439,17.671,16.515,17.307,22.626,20.936,17.855,18.232,13.224,17.777,18.072,18.531,13.363,20.06,22.268,19.394,15.217,20.063,23.66,21.594,21.594,19.963,17.177,21.305,20.907,18.093,12.171,17.9,19.216,21.057,20.181,22.495,16.906,16.969
16.31,18.589,19.548,17.621,18.828,11.596,17.829,13.229,9.82,14.951,21.158,20.246,18.496,16.988,19.703,20.379,19.091,22.874,15.867,21.305,15.692,16.271,18.19,22.882,17.875,15.003,17.421,16.64,16.994,21.188,21.749,17.041,18.169,13.036,16.586,18.009,18.218,13.175,19.747,22.206,19.143,15.28,21.314,23.285,20.655,20.655,20.088,17.239,21.18,21.032,18.218,12.046,18.839,19.341,20.619,19.305,21.057,16.969,17.094
16.059,18.088,20.174,17.308,18.828,12.286,17.892,13.292,9.695,14.7,21.033,20.246,18.496,13.982,19.515,20.441,19.154,23.562,16.681,21.18,16.13,16.021,18.128,22.82,16.999,15.066,17.108,16.703,21.499,20.062,21.561,16.478,17.856,12.848,15.96,17.821,17.968,13.05,19.622,22.206,23.836,15.28,21.689,22.847,20.53,20.53,20.401,17.74,21.806,21.094,18.406,11.983,19.339,19.404,20.681,18.554,20.619,17.094,17.531
15.934,18.526,19.611,22.626,18.515,12.725,17.829,13.354,9.632,14.638,20.845,20.308,18.433,14.232,19.515,20.379,19.091,25.375,16.618,21.806,16.13,15.708,18.128,22.695,16.56,14.94,16.982,16.64,19.56,23.126,21.686,17.417,18.294,14.54,15.897,17.696,17.968,12.924,19.434,22.081,25.773,15.28,21.501,23.097,21.531,21.531,20.714,19.429,21.993,21.22,18.656,11.858,20.215,19.467,19.367,17.99,20.681,17.531,18.28
15.683,18.714,19.923,23.939,18.327,13.164,17.391,13.354,9.695,14.763,20.783,20.308,18.683,13.668,19.453,20.441,19.154,25.563,16.869,21.993,15.566,17.211,18.065,22.507,19.127,14.439,16.607,17.016,19.059,24.377,21.686,21.172,19.796,15.417,18.027,17.633,18.218,12.736,19.247,22.143,26.836,15.28,21.314,23.285,21.594,21.594,21.964,19.429,22.556,21.157,19.782,11.795,20.591,19.467,19.492,18.303,19.367,18.28,18.53
15.495,18.777,19.673,23.627,18.39,13.164,17.955,13.417,9.569,14.575,21.033,20.371,18.934,13.543,19.515,19.69,19.216,24.437,16.681,22.556,15.128,18.964,17.94,22.382,19.94,14.376,17.295,17.454,19.622,24.502,20.811,22.861,20.984,15.668,17.651,17.571,18.093,12.611,18.996,22.081,27.898,15.342,20.251,23.222,21.531,21.531,21.214,19.992,22.556,21.032,19.782,11.732,20.779,19.467,19.68,19.555,19.492,18.53,18.592
