bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID26,bedroom_ID28,bedroom_ID29,bedroom_ID30,bedroom_ID31,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID35,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID26,living_room_ID27,living_room_ID28,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42,living_room_ID43
15.621,16.494,16.306,15.054,16.01,13.099,17.94,16.497,13.498,6.63,13.572,16.493,17.09,20.546,19.557,18.177,22.74,18.017,17.432,16.306,18.455,19.043,16.999,20.78,21.499,17.061,15.617,16.837,14.266,15.065,13.452,13.017,16.438,17.862,20.005,14.216,20.316,15.066,16.481,12.68,14.741,14.263,16.368,16.271,16.918,13.158,14.726,14.481,17.215,13.948,13.266,17.938,11.044,17.512,15.992,22.331,22.456,16.469,22.74,15.367,17.265,16.918,18.437,21.206,17.463,20.046,18.712,16.432,17.555,15.612,16.774,19.936,14.13,15.214,10.829,11.544,16.647,18.277,13.078,20.056,15.549,16.244,16.679,18.371,13.847
15.433,16.244,17.996,14.616,15.822,12.785,18.19,16.059,12.997,6.63,13.447,16.305,17.278,20.609,19.37,17.676,23.365,19.519,17.306,17.996,19.018,18.98,19.69,23.031,23.25,16.561,15.303,16.211,14.015,14.564,14.643,13.455,16.626,19.176,19.88,13.777,19.44,19.389,16.544,13.369,14.678,14.388,16.055,19.779,18.984,12.782,14.475,14.293,17.716,13.823,13.015,18.188,10.919,17.137,16.18,22.331,22.706,16.094,23.365,15.618,17.703,18.984,18.875,20.955,20.155,20.296,19.025,15.994,18.557,17.49,16.273,19.561,14.444,15.84,10.955,11.544,16.084,19.341,12.827,19.618,15.486,16.432,17.242,18.371,13.972
15.307,15.994,17.933,16.369,16.072,13.851,18.503,15.621,12.809,6.504,13.259,17.682,17.403,20.671,19.244,18.74,23.615,22.021,17.87,17.933,19.081,19.043,19.628,20.467,25.188,17.874,16.806,15.709,14.328,14.438,16.647,14.896,16.626,19.239,19.755,14.153,20.816,16.946,18.047,14.621,14.741,14.513,18.433,21.343,20.8,13.847,15.853,17.049,18.217,13.698,12.827,18.313,10.856,19.703,16.055,22.206,22.518,17.596,23.615,17.058,19.707,20.8,19.125,21.143,20.217,19.608,20.026,17.246,20.311,17.49,18.152,21.625,14.068,17.467,12.208,11.607,15.582,19.654,13.266,20.243,15.674,18.56,19.121,18.371,14.721
15.37,15.743,18.934,18.372,15.947,14.666,18.691,15.433,15.128,6.504,14.825,18.246,16.777,20.984,19.182,19.741,23.49,21.958,17.807,18.934,19.018,19.043,18.314,20.029,25.75,18.687,16.556,18.09,14.328,14.438,15.582,15.773,16.564,18.3,20.443,15.155,19.127,16.633,17.859,14.12,14.741,14.513,19.184,22.219,22.364,15.288,15.102,17.989,18.342,13.51,16.71,18.126,11.734,20.642,15.93,22.143,22.706,19.16,23.49,18.497,17.641,22.364,19.0,21.143,18.778,19.858,20.589,17.747,20.686,16.551,18.59,21.438,13.942,16.904,12.521,11.67,16.334,19.717,13.705,19.618,15.737,17.934,19.059,18.308,14.971
15.37,16.745,17.37,17.183,15.759,15.042,18.816,15.057,15.128,6.504,15.89,18.621,16.526,20.734,19.119,20.429,22.114,20.832,17.619,17.37,19.456,19.23,17.75,19.279,25.875,18.187,15.93,18.967,14.454,14.25,14.643,15.46,16.438,17.987,20.506,14.278,22.317,16.758,17.17,13.306,14.741,14.388,19.309,22.47,22.176,14.599,14.663,18.803,18.78,13.26,17.899,18.126,12.486,21.33,15.867,21.643,22.581,19.724,22.114,18.122,16.889,22.176,19.313,20.079,18.215,20.359,20.839,17.058,20.185,15.863,18.465,22.188,13.817,15.965,12.208,11.732,16.459,19.779,13.391,19.868,15.862,17.371,18.996,18.246,14.659
15.746,16.933,16.807,16.369,15.634,14.102,18.878,14.744,15.692,6.442,16.517,18.809,16.338,20.046,18.994,20.68,22.365,20.082,17.369,16.807,19.269,19.355,19.815,19.341,26.0,17.687,15.679,20.031,14.642,14.0,14.142,14.959,16.501,19.739,20.568,13.527,20.378,16.633,16.669,12.868,14.741,14.325,19.372,22.219,20.299,14.473,14.538,17.801,18.843,13.26,18.4,18.126,12.862,21.643,15.93,21.393,22.018,20.599,22.365,17.559,16.701,20.299,19.188,20.768,20.155,20.108,20.964,16.62,20.123,15.612,18.715,22.313,13.692,15.527,12.02,11.795,16.021,19.905,13.078,20.118,15.862,16.807,19.121,18.183,14.472
15.495,17.12,16.431,15.931,15.446,14.916,18.878,16.684,16.005,6.442,16.767,19.059,16.276,19.232,18.994,21.18,22.49,19.644,17.119,16.431,19.894,19.293,20.316,19.154,25.688,17.374,15.366,19.593,14.955,13.498,13.703,14.646,16.313,19.989,20.693,13.089,18.877,16.257,17.17,12.93,14.741,14.138,19.309,19.591,19.11,14.724,14.413,18.552,18.78,13.448,18.525,18.814,13.238,21.768,16.18,21.518,22.206,20.787,22.49,17.496,16.326,19.11,19.688,21.143,20.53,19.608,21.026,16.432,20.06,17.802,20.217,24.377,13.566,15.027,12.02,11.795,15.645,19.967,12.827,19.492,15.799,17.746,18.933,18.12,14.284
15.245,17.12,17.057,15.493,15.32,14.29,18.816,20.813,16.13,6.379,15.013,19.122,16.777,19.232,19.057,21.555,22.365,23.084,17.244,17.057,19.832,19.418,20.504,18.653,25.625,18.437,16.869,20.219,15.08,13.561,13.327,14.207,16.188,20.552,20.756,12.713,21.254,16.319,18.61,12.742,14.741,14.075,18.433,21.531,21.425,14.411,14.288,17.425,18.592,17.141,18.024,18.063,12.235,21.83,16.493,21.705,22.143,21.413,22.365,18.685,17.39,21.425,19.751,21.769,20.718,19.045,21.151,17.559,19.81,18.366,20.092,24.189,13.629,14.714,11.644,11.858,16.522,20.217,12.639,20.368,15.737,18.936,19.059,18.058,14.035
15.307,17.183,16.494,15.054,15.634,13.6,18.753,21.439,16.067,6.316,14.512,19.309,17.215,19.483,19.119,22.056,22.114,22.708,17.619,16.494,20.082,19.293,21.067,18.966,25.875,19.375,16.556,19.906,15.268,13.686,13.766,15.46,16.188,20.49,20.756,12.4,18.814,16.069,18.548,14.308,14.678,14.451,20.873,22.97,22.426,14.473,16.354,16.423,18.404,18.33,18.149,19.628,11.922,22.018,16.493,21.955,22.081,22.163,22.114,19.499,19.331,22.426,20.001,21.644,21.344,21.047,21.276,18.498,20.874,20.055,20.405,24.752,13.754,14.839,12.646,11.92,17.461,20.28,12.514,19.743,16.363,18.873,21.312,17.995,15.033
15.182,16.62,17.871,14.929,16.636,13.287,18.691,21.126,15.942,6.316,14.324,19.372,17.465,19.67,19.119,22.243,21.927,22.708,18.058,17.871,19.957,19.293,21.067,18.966,25.937,19.563,18.558,20.031,14.955,13.874,16.271,16.65,16.626,20.365,20.756,14.404,23.255,15.818,17.922,15.685,14.678,14.951,20.748,23.345,22.677,14.16,18.482,15.859,18.467,18.518,18.024,20.003,11.796,22.018,16.305,21.893,21.893,22.976,21.927,20.062,19.456,22.677,19.876,21.957,21.344,20.859,21.589,18.623,22.688,19.617,20.405,24.939,15.884,16.966,13.899,11.92,18.087,20.843,13.203,20.368,18.116,18.56,21.875,17.87,15.408
