bedroom_ID1,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID25,bedroom_ID29,bedroom_ID30,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,living_room_ID1,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID25,living_room_ID27,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42
15.92575,17.62,18.059,15.383,20.88,16.059,14.564,9.701,15.264,17.495,18.091,21.61,19.885749999999998,19.428,23.427,15.264,17.62,18.143,19.543,20.373,18.528,13.451,16.527545454545457,16.149,18.378,19.943,15.718,19.977899999999998,13.122,16.419,13.056,16.994,18.409625,18.609,17.104,15.102,21.033,21.033,14.762,14.456,18.126,13.739,17.951,17.307,22.143,22.268,18.222,23.427,15.367,18.609,18.5,16.884,18.838,18.432,18.841,21.563,17.206083333333332,17.06863636363636,14.337,12.86,20.03,16.023,20.3873,16.05,16.933,15.864,20.623
15.92575,18.434,17.746,15.258,21.067,15.746,12.244,9.639,15.139,17.056,17.966,21.735,19.885749999999998,18.928,23.74,15.013,18.434,19.018,19.543,21.811,17.714,13.388,16.527545454545457,16.337,18.315,19.755,15.155,19.977899999999998,18.512,17.546,13.494,16.869,18.409625,19.986,16.791,14.976,21.346,21.346,14.512,14.143,18.689,13.676,17.387,17.369,22.206,21.455,17.909,23.74,15.179,19.986,19.313,16.821,19.025,18.933,18.465,21.563,17.206083333333332,17.06863636363636,14.274,12.86,20.03,15.647,20.3873,16.05,16.745,16.24,20.811
15.92575,18.997,18.873,15.822,21.317,15.495,12.056,9.639,16.517,18.809,18.404,21.797,19.885749999999998,20.179,23.678,19.394,18.997,19.269,19.668,24.562,17.088,13.702,16.527545454545457,17.276,18.128,19.567,14.779,19.977899999999998,16.445,17.984,15.122,17.182,18.409625,20.862,17.354,15.853,21.533,21.533,14.387,14.017,18.814,14.365,20.141,17.369,22.018,20.266,18.973,23.678,16.557,20.862,19.688,16.759,20.151,19.685,20.468,22.188,17.206083333333332,17.06863636363636,14.963,13.048,20.468,15.459,20.3873,16.238,18.185,19.121,21.249
15.92575,18.434,19.561,16.574,21.505,15.621,15.253,9.764,16.955,19.122,17.904,21.86,19.885749999999998,21.305,22.615,24.396,18.434,20.144,20.106,25.313,19.906,15.456,16.527545454545457,18.466,18.503,19.567,16.72,19.977899999999998,16.821,18.235,15.435,17.432,18.409625,19.861,19.107,17.23,21.721,21.721,14.387,16.397,19.002,14.804,21.267,17.182,21.455,21.33,22.163,22.615,18.685,19.861,19.563,16.884,21.089,19.559,21.907,25.064,17.206083333333332,17.06863636363636,15.84,13.675,20.28,16.085,20.3873,16.425,18.435,18.245,21.311
15.92575,17.933,19.061,15.826875,21.568,15.871,15.566,10.015,15.765,19.247,17.591,21.672,19.885749999999998,21.993,22.24,23.396,17.933,20.895,20.419,26.25,20.532,16.896,16.527545454545457,19.342,18.378,19.567,18.285,19.977899999999998,17.385,18.172,14.746,17.745,18.409625,19.485,18.606,15.665,21.971,21.971,14.762,17.586,19.19,14.115,21.455,17.182,21.83,21.643,22.163,22.24,18.748,19.485,19.626,17.072,22.277,19.497,21.719,27.377,17.206083333333332,17.06863636363636,16.09,13.988,21.031,16.461,20.3873,16.739,18.748,17.869,21.374
15.92575,17.746,18.873,15.826875,21.568,16.309,15.942,10.077,15.64,19.122,17.403,21.422,19.885749999999998,21.320040000000002,22.615,22.646,17.746,21.583,20.419,26.125,21.22,17.648,16.527545454545457,19.717,17.94,19.567,18.597,19.977899999999998,17.572,17.922,14.558,18.309,18.409625,19.235,17.98,15.665,21.971,21.971,15.451,17.774,19.753,13.927,20.767,17.369,22.581,21.955,20.216400000000004,22.615,18.31,19.235,19.751,17.323,22.589,19.685,21.093,28.314,17.206083333333332,17.06863636363636,16.09,13.988,20.968,16.336,20.3873,16.926,19.499,19.121,21.811
15.92575,17.808,18.935,15.826875,21.568,16.747,15.37326923076923,10.015,16.454,19.059,17.403,21.297,19.885749999999998,21.320040000000002,22.865,22.396,17.808,21.395,20.732,25.563,21.283,17.522,16.527545454545457,20.093,17.752,20.13,19.098,19.977899999999998,17.322,17.859,14.997,18.496,18.409625,18.922,17.855,15.665,21.971,21.971,16.578,15.939000000000002,20.253,13.989,20.329,17.745,22.769,22.393,20.216400000000004,22.865,18.247,18.922,19.626,17.323,22.589,20.123,21.782,28.189,17.206083333333332,17.06863636363636,16.09,13.863,20.906,16.399,20.3873,16.989,19.937,20.874,21.811
15.92575,17.62,19.186,15.826875,21.505,16.747,15.37326923076923,10.077,15.765,19.622,17.528,21.422,19.885749999999998,21.320040000000002,23.74,26.896,17.62,20.895,20.794,25.563,22.471,16.834,16.527545454545457,20.593,17.565,20.631,19.348,19.977899999999998,17.197,17.859,15.31,18.371,18.409625,18.609,17.918,15.665,22.096,22.096,15.952,15.939000000000002,19.815,13.927,20.704,18.433,22.143,22.206,20.216400000000004,23.74,19.749,18.609,19.626,17.761,22.589,19.747,21.656,25.877,17.206083333333332,17.06863636363636,16.278,13.738,21.093,16.461,20.3873,16.989,19.248,21.75,21.499
15.92575,18.684,19.123,15.826875,21.38,16.121,15.37326923076923,10.015,10.015,19.81,18.029,21.735,19.885749999999998,21.320040000000002,23.678,28.583,18.684,20.832,20.482,25.875,23.097,15.706,16.527545454545457,20.906,17.44,20.944,19.098,19.977899999999998,16.883,17.796,17.062,18.121,18.409625,19.673,17.793,15.665,21.846,21.846,15.075,15.939000000000002,19.44,14.013928571428574,20.328642857142853,18.684,21.893,22.018,20.216400000000004,23.678,20.437,19.673,20.001,17.761,22.214,21.437,21.469,27.564,17.206083333333332,17.06863636363636,16.278,13.612,21.344,16.399,20.3873,16.926,18.998,21.5,21.186
15.92575,18.559,21.188,15.826875,21.13,20.876,15.37326923076923,9.889,9.889,19.747,18.404,21.485,19.885749999999998,21.320040000000002,23.553,29.895,18.559,20.832,20.357,25.875,21.908,15.143,16.527545454545457,20.781,17.314,21.194,19.473,19.977899999999998,16.507,17.984,18.439,17.996,18.409625,20.674,18.544,15.665,21.533,21.533,17.704,15.939000000000002,19.628,14.013928571428574,20.328642857142853,18.371,21.705,21.893,20.216400000000004,23.553,20.875,20.674,20.188,17.699,22.277,22.125,22.157,28.064,17.206083333333332,17.06863636363636,17.217,13.55,21.406,16.962,20.3873,19.117,19.311,20.436,21.374
